import time: self [us] | cumulative | imported package
import time:       492 |        492 |                                         sklearn.neighbors._base
import time:       326 |        326 |                                         sklearn.neighbors._unsupervised
import time:       502 |       1319 |                                       sklearn.neighbors._graph
import time:       275 |        275 |                                       sklearn.neighbors._classification
import time:       341 |        341 |                                       sklearn.neighbors._regression
import time:       200 |        200 |                                       sklearn.neighbors._nearest_centroid
import time:       220 |        220 |                                       sklearn.neighbors._kde
import time:       298 |        298 |                                       sklearn.neighbors._lof
import time:      1531 |       1531 |                                             sklearn.decomposition._cdnmf_fast
import time:       824 |       2354 |                                           sklearn.decomposition._nmf
import time:       287 |        287 |                                             sklearn.decomposition._base
import time:       229 |        229 |                                             sklearn.utils._arpack
import time:       637 |       1151 |                                           sklearn.decomposition._pca
import time:       329 |        329 |                                           sklearn.decomposition._incremental_pca
import time:       400 |        400 |                                           sklearn.decomposition._kernel_pca
import time:      1060 |       1060 |                                                   sklearn.utils._random
import time:      1100 |       2159 |                                                 sklearn.utils._seq_dataset
import time:       674 |       2833 |                                               sklearn.linear_model._base
import time:       542 |        542 |                                               sklearn.linear_model._bayes
import time:      1278 |       1278 |                                                 sklearn.utils.arrayfuncs
import time:       972 |        972 |                                                   sklearn.model_selection._split
import time:       597 |        597 |                                                   sklearn.model_selection._validation
import time:       272 |        272 |                                                     sklearn.utils.random
import time:       612 |        883 |                                                   sklearn.model_selection._search
import time:       340 |        340 |                                                   sklearn.model_selection._plot
import time:       425 |       3215 |                                                 sklearn.model_selection
import time:       815 |       5308 |                                               sklearn.linear_model._least_angle
import time:      1876 |       1876 |                                                 sklearn.linear_model._cd_fast
import time:       764 |       2640 |                                               sklearn.linear_model._coordinate_descent
import time:      3485 |       3485 |                                                           sklearn._loss._loss
import time:       884 |        884 |                                                           sklearn._loss.link
import time:       628 |       4996 |                                                         sklearn._loss.loss
import time:       232 |       5227 |                                                       sklearn._loss
import time:        14 |       5241 |                                                     sklearn._loss.loss
import time:       330 |        330 |                                                     sklearn.utils.optimize
import time:       320 |        320 |                                                     sklearn.linear_model._linear_loss
import time:       341 |       6230 |                                                   sklearn.linear_model._glm._newton_solver
import time:       405 |        405 |                                                   sklearn._loss.glm_distribution
import time:       777 |       7411 |                                                 sklearn.linear_model._glm.glm
import time:       303 |       7713 |                                               sklearn.linear_model._glm
import time:       246 |        246 |                                               sklearn.linear_model._huber
import time:      1592 |       1592 |                                                 sklearn.utils._weight_vector
import time:      1844 |       3435 |                                               sklearn.linear_model._sgd_fast
import time:       977 |        977 |                                               sklearn.linear_model._stochastic_gradient
import time:      1118 |       1118 |                                                   sklearn.linear_model._sag_fast
import time:       340 |       1457 |                                                 sklearn.linear_model._sag
import time:       854 |       2311 |                                               sklearn.linear_model._ridge
import time:      1808 |       1808 |                                                         sklearn.svm._libsvm
import time:      1326 |       1326 |                                                         sklearn.svm._liblinear
import time:      1268 |       1268 |                                                         sklearn.svm._libsvm_sparse
import time:       599 |       5000 |                                                       sklearn.svm._base
import time:      1021 |       6020 |                                                     sklearn.svm._classes
import time:       449 |        449 |                                                     sklearn.svm._bounds
import time:       425 |       6893 |                                                   sklearn.svm
import time:        17 |       6910 |                                                 sklearn.svm._base
import time:       717 |       7626 |                                               sklearn.linear_model._logistic
import time:       514 |        514 |                                               sklearn.linear_model._omp
import time:       405 |        405 |                                               sklearn.linear_model._passive_aggressive
import time:       199 |        199 |                                               sklearn.linear_model._perceptron
import time:       228 |        228 |                                               sklearn.linear_model._quantile
import time:       378 |        378 |                                               sklearn.linear_model._ransac
import time:       379 |        379 |                                               sklearn.linear_model._theil_sen
import time:       510 |      36237 |                                             sklearn.linear_model
import time:       781 |        781 |                                             sklearn.decomposition._dict_learning
import time:       367 |      37384 |                                           sklearn.decomposition._sparse_pca
import time:       495 |        495 |                                           sklearn.decomposition._truncated_svd
import time:       437 |        437 |                                           sklearn.decomposition._fastica
import time:       408 |        408 |                                           sklearn.decomposition._factor_analysis
import time:      2248 |       2248 |                                             sklearn.decomposition._online_lda_fast
import time:       524 |       2771 |                                           sklearn.decomposition._lda
import time:       463 |      46188 |                                         sklearn.decomposition
import time:       264 |      46452 |                                       sklearn.neighbors._nca
import time:       437 |      89910 |                                     sklearn.neighbors
import time:      1847 |       1847 |                                     sklearn.tree._utils
import time:      1931 |      93687 |                                   sklearn.neighbors._quad_tree
import time:      2746 |      96433 |                                 sklearn.tree._tree
import time:      1788 |      98221 |                               sklearn.tree._splitter
import time:      1832 |     100052 |                             sklearn.tree._criterion
import time:       822 |     100873 |                           sklearn.tree._classes
import time:       444 |        444 |                             sklearn.tree._reingold_tilford
import time:       702 |       1146 |                           sklearn.tree._export
import time:       359 |     102377 |                         sklearn.tree
import time:       781 |     103157 |                       sklearn.ensemble._base
import time:       987 |        987 |                       sklearn.ensemble._forest
import time:       758 |        758 |                       sklearn.ensemble._bagging
import time:       851 |        851 |                       sklearn.ensemble._iforest
import time:      1012 |       1012 |                       sklearn.ensemble._weight_boosting
import time:      2213 |       2213 |                         sklearn.ensemble._gradient_boosting
import time:       558 |        558 |                           sklearn.dummy
import time:       682 |       1240 |                         sklearn.ensemble._gb_losses
import time:      2716 |       6168 |                       sklearn.ensemble._gb
import time:       560 |        560 |                       sklearn.ensemble._voting
import time:       751 |        751 |                       sklearn.ensemble._stacking
import time:       319 |        319 |                         sklearn.ensemble._hist_gradient_boosting
import time:        96 |         96 |                             sklearn.ensemble._hist_gradient_boosting.collections
import time:        37 |         37 |                             sklearn.ensemble._hist_gradient_boosting.enum
import time:      1576 |       1709 |                           sklearn.ensemble._hist_gradient_boosting.common
import time:      1806 |       3514 |                         sklearn.ensemble._hist_gradient_boosting._gradient_boosting
import time:      1311 |       1311 |                           sklearn.ensemble._hist_gradient_boosting._binning
import time:      1720 |       1720 |                           sklearn.ensemble._hist_gradient_boosting._bitset
import time:       476 |       3506 |                         sklearn.ensemble._hist_gradient_boosting.binning
import time:      1838 |       1838 |                           sklearn.ensemble._hist_gradient_boosting.splitting
import time:      1831 |       1831 |                           sklearn.ensemble._hist_gradient_boosting.histogram
import time:      1813 |       1813 |                             sklearn.ensemble._hist_gradient_boosting._predictor
import time:       406 |       2218 |                           sklearn.ensemble._hist_gradient_boosting.predictor
import time:      1736 |       1736 |                           sklearn.ensemble._hist_gradient_boosting.utils
import time:       554 |       8176 |                         sklearn.ensemble._hist_gradient_boosting.grower
import time:      1087 |      16600 |                       sklearn.ensemble._hist_gradient_boosting.gradient_boosting
import time:       496 |     131337 |                     sklearn.ensemble
import time:       978 |        978 |                         sklearn.gaussian_process.kernels
import time:      1669 |       2646 |                       sklearn.gaussian_process._gpr
import time:       667 |        667 |                         sklearn.multiclass
import time:       544 |       1210 |                       sklearn.gaussian_process._gpc
import time:       496 |       4351 |                     sklearn.gaussian_process
import time:       760 |        760 |                                 sklearn.manifold._locally_linear
import time:       249 |        249 |                                   sklearn.utils.graph
import time:       511 |        760 |                                 sklearn.manifold._isomap
import time:      1500 |       1500 |                                     sklearn._isotonic
import time:       473 |       1973 |                                   sklearn.isotonic
import time:       337 |       2310 |                                 sklearn.manifold._mds
import time:       547 |        547 |                                 sklearn.manifold._spectral_embedding
import time:       839 |        839 |                                   sklearn.manifold._utils
import time:      1688 |       1688 |                                   sklearn.manifold._barnes_hut_tsne
import time:       576 |       3102 |                                 sklearn.manifold._t_sne
import time:       297 |       7773 |                               sklearn.manifold
import time:      1782 |       1782 |                                 sklearn.cluster._k_means_common
import time:      1727 |       1727 |                                 sklearn.cluster._k_means_minibatch
import time:      2001 |       2001 |                                 sklearn.cluster._k_means_lloyd
import time:      1648 |       1648 |                                 sklearn.cluster._k_means_elkan
import time:       790 |       7946 |                               sklearn.cluster._kmeans
import time:       791 |      16508 |                             sklearn.cluster._spectral
import time:       424 |        424 |                             sklearn.cluster._mean_shift
import time:       387 |        387 |                             sklearn.cluster._affinity_propagation
import time:       102 |        102 |                                 backports_abc
import time:      2040 |       2142 |                               sklearn.utils._fast_dict
import time:      1604 |       1604 |                               sklearn.cluster._hierarchical_fast
import time:       303 |        303 |                               sklearn.cluster._feature_agglomeration
import time:       635 |       4682 |                             sklearn.cluster._agglomerative
import time:       451 |        451 |                             sklearn.cluster._bisect_k_means
import time:      1472 |       1472 |                               sklearn.cluster._dbscan_inner
import time:       234 |       1705 |                             sklearn.cluster._dbscan
import time:       517 |        517 |                             sklearn.cluster._optics
import time:       454 |        454 |                             sklearn.cluster._bicluster
import time:       290 |        290 |                             sklearn.cluster._birch
import time:       417 |      25832 |                           sklearn.cluster
import time:       403 |      26235 |                         sklearn.mixture._base
import time:       696 |      26930 |                       sklearn.mixture._gaussian_mixture
import time:       413 |        413 |                       sklearn.mixture._bayesian_mixture
import time:       419 |      27761 |                     sklearn.mixture
import time:       610 |        610 |                     sklearn.multioutput
import time:       693 |        693 |                       sklearn.compose._column_transformer
import time:       406 |        406 |                       sklearn.compose._target
import time:       418 |       1516 |                     sklearn.compose
import time:        41 |         41 |                     sklearn.preprocessing.Imputer
import time:       650 |        650 |                       sklearn.impute._base
import time:       448 |        448 |                       sklearn.impute._knn
import time:       383 |       1480 |                     sklearn.impute
import time:       571 |        571 |                       sklearn.calibration
import time:       575 |        575 |                           sklearn.covariance._empirical_covariance
import time:       430 |        430 |                           sklearn.covariance._shrunk_covariance
import time:       363 |        363 |                           sklearn.covariance._robust_covariance
import time:       527 |        527 |                           sklearn.covariance._graph_lasso
import time:       313 |        313 |                           sklearn.covariance._elliptic_envelope
import time:       381 |       2586 |                         sklearn.covariance
import time:       517 |       3103 |                       sklearn.discriminant_analysis
import time:       700 |        700 |                       sklearn.naive_bayes
import time:       723 |        723 |                         sklearn.neural_network._rbm
import time:       176 |        176 |                           sklearn.neural_network._base
import time:       283 |        283 |                           sklearn.neural_network._stochastic_optimizers
import time:       668 |       1126 |                         sklearn.neural_network._multilayer_perceptron
import time:      2022 |       3869 |                       sklearn.neural_network
import time:       768 |        768 |                         sklearn.cross_decomposition._pls
import time:       358 |       1125 |                       sklearn.cross_decomposition
import time:       994 |        994 |                         sklearn.feature_extraction._dict_vectorizer
import time:      1221 |       1221 |                           sklearn.feature_extraction._hashing_fast
import time:       346 |       1567 |                         sklearn.feature_extraction._hash
import time:       390 |        390 |                         sklearn.feature_extraction.image
import time:       341 |        341 |                           sklearn.feature_extraction._stop_words
import time:       921 |       1262 |                         sklearn.feature_extraction.text
import time:      1716 |       5927 |                       sklearn.feature_extraction
import time:       382 |        382 |                           sklearn.feature_selection._base
import time:      1418 |       1800 |                         sklearn.feature_selection._univariate_selection
import time:       308 |        308 |                         sklearn.feature_selection._variance_threshold
import time:       496 |        496 |                         sklearn.feature_selection._rfe
import time:       411 |        411 |                         sklearn.feature_selection._from_model
import time:       319 |        319 |                         sklearn.feature_selection._sequential
import time:       286 |        286 |                         sklearn.feature_selection._mutual_info
import time:       443 |       4060 |                       sklearn.feature_selection
import time:        43 |         43 |                       sklearn.preprocessing.Imputer
import time:       494 |        494 |                       sklearn.random_projection
import time:       406 |        406 |                         skl2onnx.sklapi.cast_transformer
import time:       247 |        247 |                         skl2onnx.sklapi.cast_regressor
import time:       276 |        276 |                         skl2onnx.sklapi.replace_transformer
import time:       302 |        302 |                         skl2onnx.sklapi.sklearn_text
import time:       361 |        361 |                         skl2onnx.sklapi.woe_transformer
import time:       397 |       1987 |                       skl2onnx.sklapi
import time:       554 |      22430 |                     skl2onnx._supported_operators
import time:       305 |        305 |                       skl2onnx.common._apply_operation
import time:       302 |        606 |                     skl2onnx.common.utils_classifier
import time:       551 |     190680 |                   skl2onnx._parse
import time:       432 |        432 |                     skl2onnx.shape_calculators.array_feature_extractor
import time:       266 |        266 |                       skl2onnx.common.shape_calculator
import time:       299 |        565 |                     skl2onnx.shape_calculators.cast_op
import time:       219 |        219 |                     skl2onnx.shape_calculators.class_labels
import time:       474 |        474 |                     skl2onnx.shape_calculators.concat
import time:       273 |        273 |                     skl2onnx.shape_calculators.cross_decomposition
import time:       152 |        152 |                     skl2onnx.shape_calculators.dict_vectorizer
import time:       325 |        325 |                     skl2onnx.shape_calculators.ensemble_shapes
import time:       163 |        163 |                     skl2onnx.shape_calculators.feature_hasher
import time:       154 |        154 |                     skl2onnx.shape_calculators.flatten
import time:       249 |        249 |                     skl2onnx.shape_calculators.function_transformer
import time:       237 |        237 |                     skl2onnx.shape_calculators.gaussian_process
import time:       173 |        173 |                     skl2onnx.shape_calculators.grid_search_cv
import time:       184 |        184 |                     skl2onnx.shape_calculators.identity
import time:       398 |        398 |                     skl2onnx.shape_calculators.imputer
import time:       152 |        152 |                     skl2onnx.shape_calculators.isolation_forest
import time:       397 |        397 |                     skl2onnx.shape_calculators.kernel_pca
import time:       280 |        280 |                     skl2onnx.shape_calculators.k_bins_discretiser
import time:       206 |        206 |                     skl2onnx.shape_calculators.k_means
import time:       167 |        167 |                     skl2onnx.shape_calculators.label_binariser
import time:       366 |        366 |                     skl2onnx.shape_calculators.label_encoder
import time:       439 |        439 |                     skl2onnx.shape_calculators.linear_classifier
import time:       319 |        319 |                     skl2onnx.shape_calculators.linear_regressor
import time:       332 |        332 |                     skl2onnx.shape_calculators.local_outlier_factor
import time:       312 |        312 |                     skl2onnx.shape_calculators.mixture
import time:       174 |        174 |                     skl2onnx.shape_calculators.multioutput
import time:       377 |        377 |                     skl2onnx.shape_calculators.nearest_neighbours
import time:       364 |        364 |                     skl2onnx.shape_calculators.one_hot_encoder
import time:       254 |        254 |                     skl2onnx.shape_calculators.ordinal_encoder
import time:       135 |        135 |                     skl2onnx.shape_calculators.one_vs_one_classifier
import time:       171 |        171 |                     skl2onnx.shape_calculators.one_vs_rest_classifier
import time:       251 |        251 |                     skl2onnx.shape_calculators.ovr_decision_function
import time:       266 |        266 |                     skl2onnx.shape_calculators.pipelines
import time:       269 |        269 |                     skl2onnx.shape_calculators.polynomial_features
import time:       284 |        284 |                     skl2onnx.shape_calculators.power_transformer
import time:       208 |        208 |                     skl2onnx.shape_calculators.quadratic_discriminant_analysis
import time:       154 |        154 |                     skl2onnx.shape_calculators.random_projection
import time:       275 |        275 |                     skl2onnx.shape_calculators.random_trees_embedding
import time:       145 |        145 |                     skl2onnx.shape_calculators.replace_op
import time:       219 |        219 |                     skl2onnx.shape_calculators.scaler
import time:       166 |        166 |                     skl2onnx.shape_calculators.sequence
import time:       157 |        157 |                     skl2onnx.shape_calculators.sgd_oneclass_svm
import time:       264 |        264 |                     skl2onnx.shape_calculators.svd
import time:       213 |        213 |                     skl2onnx.shape_calculators.support_vector_machines
import time:       236 |        236 |                     skl2onnx.shape_calculators.text_vectorizer
import time:       150 |        150 |                     skl2onnx.shape_calculators.tfidf_transformer
import time:       173 |        173 |                     skl2onnx.shape_calculators.voting_classifier
import time:       166 |        166 |                     skl2onnx.shape_calculators.voting_regressor
import time:       170 |        170 |                     skl2onnx.shape_calculators.zip_map
import time:      1045 |      13234 |                   skl2onnx.shape_calculators
import time:       651 |        651 |                     skl2onnx.operator_converters.ada_boost
import time:       261 |        261 |                     skl2onnx.operator_converters.array_feature_extractor
import time:       330 |        330 |                     skl2onnx.operator_converters.bagging
import time:       313 |        313 |                       skl2onnx.operator_converters.common
import time:       400 |        712 |                     skl2onnx.operator_converters.binariser
import time:       411 |        411 |                     skl2onnx.operator_converters.calibrated_classifier_cv
import time:       230 |        230 |                     skl2onnx.operator_converters.cast_op
import time:       174 |        174 |                     skl2onnx.operator_converters.class_labels
import time:       160 |        160 |                     skl2onnx.operator_converters.concat_op
import time:       490 |        490 |                                 skl2onnx.helpers.investigate
import time:       239 |        729 |                               skl2onnx.helpers
import time:       290 |       1018 |                             skl2onnx.helpers.onnx_helper
import time:       347 |        347 |                             skl2onnx.algebra.graph_state
import time:       337 |        337 |                             skl2onnx.algebra.type_helper
import time:       691 |       2391 |                           skl2onnx.algebra.onnx_operator
import time:       240 |       2631 |                         skl2onnx.algebra
import time:       672 |        672 |                             jinja2.bccache
import time:      1423 |       1423 |                                 markupsafe._speedups
import time:       850 |       2272 |                               markupsafe
import time:      1973 |       1973 |                                 jinja2.utils
import time:      2070 |       4042 |                               jinja2.nodes
import time:       467 |        467 |                                 jinja2.exceptions
import time:       266 |        266 |                                   jinja2.visitor
import time:       590 |        855 |                                 jinja2.idtracking
import time:       272 |        272 |                                 jinja2.optimizer
import time:      1217 |       2810 |                               jinja2.compiler
import time:       418 |        418 |                                   jinja2.async_utils
import time:      1099 |       1099 |                                   jinja2.runtime
import time:      1169 |       2685 |                                 jinja2.filters
import time:       416 |        416 |                                 jinja2.tests
import time:       276 |       3377 |                               jinja2.defaults
import time:      1661 |       1661 |                                 jinja2._identifier
import time:      1778 |       3439 |                               jinja2.lexer
import time:       803 |        803 |                               jinja2.parser
import time:      1417 |      18158 |                             jinja2.environment
import time:       843 |        843 |                             jinja2.loaders
import time:       446 |      20118 |                           jinja2
import time:       454 |        454 |                           encodings.unicode_escape
import time:     14833 |      35403 |                         skl2onnx.algebra.automation
import time:       348 |        348 |                         skl2onnx.algebra._cache
import time:    212236 |     250616 |                       skl2onnx.algebra.onnx_ops
import time:       383 |     250999 |                     skl2onnx.operator_converters.cross_decomposition
import time:       402 |        402 |                       skl2onnx.common.tree_ensemble
import time:      1848 |       2250 |                     skl2onnx.operator_converters.decision_tree
import time:       421 |        421 |                     skl2onnx.operator_converters.decomposition
import time:       520 |        520 |                     skl2onnx.operator_converters.dict_vectoriser
import time:       338 |        338 |                     skl2onnx.operator_converters.feature_hasher
import time:       586 |        586 |                     skl2onnx.operator_converters.feature_selection
import time:       409 |        409 |                     skl2onnx.operator_converters.flatten_op
import time:       205 |        205 |                     skl2onnx.operator_converters.function_transformer
import time:       223 |        223 |                     skl2onnx.operator_converters.gamma_regressor
import time:       333 |        333 |                       skl2onnx.algebra.custom_ops
import time:       330 |        330 |                         skl2onnx.algebra.complex_functions
import time:       343 |        672 |                       skl2onnx.operator_converters._gp_kernels
import time:       524 |       1528 |                     skl2onnx.operator_converters.gaussian_process
import time:       287 |        287 |                     skl2onnx.operator_converters.gaussian_mixture
import time:       485 |        485 |                     skl2onnx.operator_converters.gradient_boosting
import time:       322 |        322 |                     skl2onnx.operator_converters.grid_search_cv
import time:       173 |        173 |                     skl2onnx.operator_converters.id_op
import time:       356 |        356 |                     skl2onnx.operator_converters.imputer_op
import time:       260 |        260 |                     skl2onnx.operator_converters.isolation_forest
import time:       595 |        595 |                     skl2onnx.operator_converters.kernel_pca
import time:       382 |        382 |                     skl2onnx.operator_converters.k_bins_discretiser
import time:       225 |        225 |                     skl2onnx.operator_converters.k_means
import time:       324 |        324 |                     skl2onnx.operator_converters.label_binariser
import time:       172 |        172 |                     skl2onnx.operator_converters.label_encoder
import time:       254 |        254 |                     skl2onnx.operator_converters.linear_classifier
import time:       503 |        503 |                     skl2onnx.operator_converters.linear_regressor
import time:       636 |        636 |                       skl2onnx.operator_converters.nearest_neighbours
import time:       332 |        968 |                     skl2onnx.operator_converters.local_outlier_factor
import time:       414 |        414 |                     skl2onnx.operator_converters.multilayer_perceptron
import time:       243 |        243 |                     skl2onnx.operator_converters.multioutput
import time:       355 |        355 |                     skl2onnx.operator_converters.multiply_op
import time:       478 |        478 |                     skl2onnx.operator_converters.naive_bayes
import time:       274 |        274 |                     skl2onnx.operator_converters.normaliser
import time:       431 |        431 |                     skl2onnx.operator_converters.one_hot_encoder
import time:       312 |        312 |                     skl2onnx.operator_converters.one_vs_one_classifier
import time:       475 |        475 |                     skl2onnx.operator_converters.one_vs_rest_classifier
import time:       281 |        281 |                     skl2onnx.operator_converters.ordinal_encoder
import time:       495 |        495 |                     skl2onnx.operator_converters.ovr_decision_function
import time:       377 |        377 |                     skl2onnx.operator_converters.pipelines
import time:       395 |        395 |                     skl2onnx.operator_converters.polynomial_features
import time:       309 |        309 |                     skl2onnx.operator_converters.power_transformer
import time:       303 |        303 |                     skl2onnx.operator_converters.quadratic_discriminant_analysis
import time:       575 |        575 |                     skl2onnx.operator_converters.random_forest
import time:       290 |        290 |                     skl2onnx.operator_converters.random_projection
import time:       213 |        213 |                     skl2onnx.operator_converters.random_trees_embedding
import time:       163 |        163 |                     skl2onnx.operator_converters.ransac_regressor
import time:       254 |        254 |                     skl2onnx.operator_converters.replace_op
import time:       275 |        275 |                     skl2onnx.operator_converters.scaler_op
import time:       179 |        179 |                     skl2onnx.operator_converters.sequence
import time:       205 |        205 |                     skl2onnx.operator_converters.sgd_classifier
import time:       312 |        312 |                     skl2onnx.operator_converters.sgd_oneclass_svm
import time:       357 |        357 |                     skl2onnx.operator_converters.stacking
import time:       398 |        398 |                     skl2onnx.operator_converters.support_vector_machines
import time:       255 |        255 |                     skl2onnx.operator_converters.text_vectoriser
import time:       191 |        191 |                     skl2onnx.operator_converters.tfidf_transformer
import time:       173 |        173 |                     skl2onnx.operator_converters.tfidf_vectoriser
import time:       184 |        184 |                     skl2onnx.operator_converters.voting_classifier
import time:       279 |        279 |                     skl2onnx.operator_converters.voting_regressor
import time:       320 |        320 |                     skl2onnx.operator_converters.zip_map
import time:      1264 |     276712 |                   skl2onnx.operator_converters
import time:      1101 |    1127473 |                 skl2onnx.convert
import time:       321 |    1127794 |               skl2onnx
import time:        12 |    1127806 |             skl2onnx.common
import time:        15 |    1127820 |           skl2onnx.common.data_types
import time:      6837 |    1141591 |         opsml.model.types
import time:       424 |        424 |             opsml.profile.profile_data
import time:       351 |        775 |           opsml.profile
import time:        17 |        792 |         opsml.profile.profile_data
import time:      2766 |       2766 |         opsml.registry.cards.types
import time:       280 |        280 |           opsml.registry.data
import time:      1727 |       2006 |         opsml.registry.data.splitter
import time:       267 |        267 |           opsml.registry.sql
import time:       241 |        241 |                   alembic.runtime
import time:       963 |        963 |                               importlib.metadata
import time:       528 |       1490 |                             sqlalchemy.util.compat
import time:      1068 |       1068 |                             sqlalchemy.cimmutabledict
import time:      1114 |       3671 |                           sqlalchemy.util._collections
import time:       277 |        277 |                           sqlalchemy.util._preloaded
import time:      1967 |       1967 |                               greenlet._greenlet
import time:       344 |       2310 |                             greenlet
import time:       208 |        208 |                                   asyncio.constants
import time:       112 |        112 |                                       asyncio.format_helpers
import time:       122 |        234 |                                     asyncio.base_futures
import time:       108 |        108 |                                     asyncio.log
import time:       188 |        529 |                                   asyncio.coroutines
import time:       601 |        601 |                                       _contextvars
import time:       119 |        719 |                                     contextvars
import time:       257 |        257 |                                       asyncio.exceptions
import time:       125 |        125 |                                       asyncio.base_tasks
import time:       694 |       1075 |                                     _asyncio
import time:       348 |       2142 |                                   asyncio.events
import time:       190 |        190 |                                   asyncio.futures
import time:       160 |        160 |                                   asyncio.protocols
import time:       219 |        219 |                                     asyncio.transports
import time:       268 |        487 |                                   asyncio.sslproto
import time:      1061 |       1061 |                                     asyncio.locks
import time:       277 |        277 |                                     asyncio.tasks
import time:       253 |       1590 |                                   asyncio.staggered
import time:       172 |        172 |                                   asyncio.trsock
import time:       755 |       6227 |                                 asyncio.base_events
import time:       112 |        112 |                                 asyncio.runners
import time:       245 |        245 |                                 asyncio.queues
import time:       263 |        263 |                                 asyncio.streams
import time:       177 |        177 |                                 asyncio.subprocess
import time:        95 |         95 |                                 asyncio.threads
import time:       262 |        262 |                                   asyncio.base_subprocess
import time:       333 |        333 |                                   asyncio.selector_events
import time:       477 |       1071 |                                 asyncio.unix_events
import time:       208 |       8395 |                               asyncio
import time:      1106 |       1106 |                                 sqlalchemy.exc
import time:      1114 |       2220 |                               sqlalchemy.util.langhelpers
import time:       323 |      10937 |                             sqlalchemy.util._concurrency_py3k
import time:       259 |        259 |                             sqlalchemy.util._compat_py3k
import time:       215 |      13720 |                           sqlalchemy.util.concurrency
import time:       298 |        298 |                           sqlalchemy.util.deprecations
import time:      1177 |      19141 |                         sqlalchemy.util
import time:       861 |        861 |                                       sqlalchemy.sql.roles
import time:       589 |        589 |                                       sqlalchemy.sql.visitors
import time:       524 |        524 |                                         sqlalchemy.sql.operators
import time:       390 |        390 |                                         sqlalchemy.inspection
import time:       898 |       1811 |                                       sqlalchemy.sql.traversals
import time:      2062 |       5321 |                                     sqlalchemy.sql.base
import time:      1208 |       1208 |                                       sqlalchemy.sql.coercions
import time:       779 |        779 |                                                 sqlalchemy.sql.type_api
import time:       414 |        414 |                                                 sqlalchemy.sql.annotation
import time:      3061 |       4253 |                                               sqlalchemy.sql.elements
import time:       199 |        199 |                                                       sqlalchemy.event.legacy
import time:       257 |        257 |                                                       sqlalchemy.event.registry
import time:       381 |        836 |                                                     sqlalchemy.event.attr
import time:       453 |       1288 |                                                   sqlalchemy.event.base
import time:       514 |       1801 |                                                 sqlalchemy.event.api
import time:       424 |       2225 |                                               sqlalchemy.event
import time:      2787 |       2787 |                                                 sqlalchemy.cprocessors
import time:      1304 |       4090 |                                               sqlalchemy.processors
import time:      2687 |      13255 |                                             sqlalchemy.sql.sqltypes
import time:       426 |      13680 |                                           sqlalchemy.types
import time:       260 |        260 |                                               sqlalchemy.util.topological
import time:      1915 |       2174 |                                             sqlalchemy.sql.ddl
import time:      6590 |       6590 |                                               sqlalchemy.sql.selectable
import time:      3196 |       9785 |                                             sqlalchemy.sql.schema
import time:       754 |      12712 |                                           sqlalchemy.sql.util
import time:      2039 |      28430 |                                         sqlalchemy.sql.dml
import time:       437 |      28866 |                                       sqlalchemy.sql.crud
import time:      3134 |       3134 |                                       sqlalchemy.sql.functions
import time:      3079 |      36286 |                                     sqlalchemy.sql.compiler
import time:       768 |        768 |                                       sqlalchemy.sql.lambdas
import time:      2780 |       3548 |                                     sqlalchemy.sql.expression
import time:      1169 |       1169 |                                     sqlalchemy.sql.events
import time:       407 |        407 |                                     sqlalchemy.sql.default_comparator
import time:       574 |        574 |                                     sqlalchemy.sql.naming
import time:      5458 |      52758 |                                   sqlalchemy.sql
import time:        18 |      52776 |                                 sqlalchemy.sql.compiler
import time:       713 |      53488 |                               sqlalchemy.engine.interfaces
import time:       246 |        246 |                               sqlalchemy.engine.util
import time:       475 |        475 |                               sqlalchemy.log
import time:      1779 |      55986 |                             sqlalchemy.engine.base
import time:      2304 |      58289 |                           sqlalchemy.engine.events
import time:       424 |        424 |                               sqlalchemy.dialects
import time:       631 |       1054 |                             sqlalchemy.engine.url
import time:       218 |        218 |                             sqlalchemy.engine.mock
import time:       508 |        508 |                                 sqlalchemy.pool.base
import time:      1175 |       1682 |                               sqlalchemy.pool.events
import time:       397 |        397 |                                   sqlalchemy.util.queue
import time:       451 |        847 |                                 sqlalchemy.pool.impl
import time:       432 |       1279 |                               sqlalchemy.pool.dbapi_proxy
import time:       299 |       3259 |                             sqlalchemy.pool
import time:       796 |       5326 |                           sqlalchemy.engine.create
import time:      1196 |       1196 |                                 sqlalchemy.cresultproxy
