import time: self [us] | cumulative | imported package
import time:        19 |       7188 |                     pandas.core.ops.common
import time:       662 |       8241 |                   pandas.core.arraylike
import time:      1501 |       1501 |                     pandas.compat.numpy.function
import time:       562 |        562 |                     pandas.core.missing
import time:       386 |        386 |                     pandas.core.array_algos.quantile
import time:       477 |        477 |                     pandas.core.sorting
import time:       904 |       3828 |                   pandas.core.arrays.base
import time:     36272 |      36272 |                     pyarrow._compute
import time:       414 |        414 |                     pyarrow._compute_docstrings
import time:       343 |        343 |                     pyarrow.vendored
import time:       766 |        766 |                         pkgutil
import time:      1495 |       2260 |                       pydoc
import time:        77 |         77 |                             org
import time:        15 |         91 |                           org.python
import time:        16 |        106 |                         org.python.core
import time:       220 |        326 |                       copy
import time:      1819 |       4405 |                     pyarrow.vendored.docscrape
import time:     22363 |      63793 |                   pyarrow.compute
import time:       631 |        631 |                   pandas.core.arrays.arrow._arrow_utils
import time:       488 |        488 |                   pandas.core.arrays.arrow.dtype
import time:      1099 |      78080 |                 pandas.core.arrays.arrow.array
import time:       591 |      78670 |               pandas.core.arrays.arrow
import time:       843 |        843 |                   pandas.core.nanops
import time:       382 |        382 |                   pandas.core.array_algos.masked_reductions
import time:      1467 |       2691 |                 pandas.core.arrays.masked
import time:       553 |       3244 |               pandas.core.arrays.boolean
import time:       787 |        787 |                   _csv
import time:       471 |       1257 |                 csv
import time:       620 |        620 |                   zlib
import time:       195 |        195 |                     _compression
import time:       566 |        566 |                     _bz2
import time:       239 |        999 |                   bz2
import time:       592 |        592 |                     _lzma
import time:       211 |        803 |                   lzma
import time:       618 |       3038 |                 shutil
import time:      1168 |       1168 |                 pandas._libs.arrays
import time:       639 |        639 |                 pandas.core.accessor
import time:       244 |        244 |                   pandas.core.array_algos.transforms
import time:       698 |        941 |                 pandas.core.arrays._mixins
import time:       774 |        774 |                 pandas.core.base
import time:      2903 |       2903 |                     pandas.core.strings.accessor
import time:       472 |        472 |                     pandas.core.strings.base
import time:       292 |       3666 |                   pandas.core.strings
import time:      1013 |       1013 |                   unicodedata
import time:       437 |       5115 |                 pandas.core.strings.object_array
import time:       647 |        647 |                   pandas.io
import time:       788 |       1435 |                 pandas.io.formats
import time:       933 |        933 |                 pandas.io.formats.console
import time:      1316 |      16614 |               pandas.core.arrays.categorical
import time:       480 |        480 |                     pandas.core.arrays.numeric
import time:       492 |        972 |                   pandas.core.arrays.integer
import time:       275 |        275 |                   pandas.tseries
import time:       599 |        599 |                   pandas.tseries.frequencies
import time:      1382 |       3227 |                 pandas.core.arrays.datetimelike
import time:       312 |        312 |                 pandas.core.arrays._ranges
import time:       238 |        238 |                 pandas.tseries.offsets
import time:      1424 |       5200 |               pandas.core.arrays.datetimes
